uri,artist_names,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,uri_artist,artist_pop,num_followers,artist_genres,track_pop
spotify:track:7Mts0OfPorF4iwOomvfqn1,Taylor Swift,So High School,0.0274,0.366,228800,0.866,3.07e-06,0.106,-4.514,1,0.0466,176.07,4,0.293,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],76
spotify:track:7ogK4lJDVDMU6A6vYR5rvD,Taylor Swift,thanK you aIMee,0.609,0.609,263817,0.541,0.0,0.122,-8.013,1,0.0346,95.997,4,0.252,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],69
spotify:track:4EF6IyONolQy0bIQXm2EmX,Taylor Swift,The Albatross,0.655,0.352,183879,0.479,0.0,0.0935,-8.942,1,0.0583,172.013,4,0.292,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],70
spotify:track:18WFFUIsewmA8g31KAeo3e,Taylor Swift,The Prophecy,0.825,0.421,249807,0.525,2.67e-06,0.308,-10.359,1,0.0472,167.927,4,0.535,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],76
spotify:track:5Bedn0svl0ZD7RGmJkmKKw,Taylor Swift,How Did It End?,0.785,0.492,238707,0.379,0.00093,0.108,-8.859,1,0.0257,83.993,3,0.273,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],75
spotify:track:1rmEsOezwf2lmIZTMAO5Ag,Taylor Swift,Chloe or Sam or Sophia or Marcus,0.78,0.516,213281,0.451,0.0,0.105,-8.552,1,0.0446,70.266,4,0.218,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],71
spotify:track:3hlGuz3loYoLfI3bpwieWq,Taylor Swift,I Hate It Here,0.717,0.485,243876,0.562,0.0,0.357,-7.197,1,0.0346,105.953,4,0.297,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],72
spotify:track:5bi0gh89wRuH2OgjdAKFsb,"Rvssian, Rauw Alejandro, Ayra Starr",Santa,0.321,0.725,193039,0.709,0.000189,0.114,-5.017,0,0.129,99.993,4,0.648,spotify:artist:1fctva4kpRbg2k3v7kwRuS,76,2505898,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",79
spotify:track:1Zai5UJ2di3qEuR2HeT2s8,Taylor Swift,I Look in People's Windows,0.69,0.763,131907,0.274,0.0,0.164,-11.429,0,0.0738,90.796,4,0.385,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],70
spotify:track:3zMDGj4D8ogaYgAIZPeU7S,Taylor Swift,Peter,0.805,0.342,283958,0.376,0.0,0.0593,-8.212,1,0.0372,176.859,3,0.29,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],72
